m1,m10,m100,m1000,m1002,m1003,m1004,m1005,m1006,m1007,m1008,m1009,m101,m1010,m1011,m1012,m1013,m1014,m1015,m1016,m1017,m1018,m1019,m102,m1020,m1021,m1022,m1023,m1024,m1025,m1026,m1027,m1028,m1029,m103,m1030,m1031,m1032,m1033,m1034,m1035,m1036,m1037,m1038,m1039,m104,m1040,m1041,m1042,m1043,m1044,m1046,m1047,m1049,m105,m1050,m1051,m1053,m1054,m1055,m1056,m1057,m1058,m1059,m106,m1060,m1061,m1062,m1063,m1064,m1066,m1067,m1068,m1069,m107,m1070,m1071,m1073,m1076,m1077,m1078,m1079,m108,m1080,m1081,m1082,m1083,m1084,m1085,m1086,m1087,m1088,m1089,m1090,m1091,m1092,m1093,m1094,m1095,m1096
0.502211623,0.557655344,0.778106248,,,0.324942857,0.247709575,0.709744974,0.558229249,0.778331729,,0.394204613,0.508796826,0.571848634,0.624447594,0.728095797,0.768170073,0.743036339,0.845290359,0.69338105,0.818587903,0.601463775,0.54330401,,0.584459003,0.810839672,0.544486742,0.656222759,0.580913386,0.583005026,,0.535106023,0.661675131,0.483787781,0.229760284,0.739204382,0.462309053,0.388933673,0.35132815,0.89505583,0.608781322,0.539982764,0.385837144,,,0.375561126,,0.367486652,0.663051506,0.2855109,0.264823019,1.0,0.377570202,0.47247401,0.59167729,0.322389158,0.361014519,0.181864975,0.651994457,0.536062723,,0.727317782,,0.413716216,,0.437384453,0.571695637,,,0.545526614,0.501085144,0.798620429,0.479282573,0.629974201,0.760426135,,,0.539099063,0.664898418,0.46428845,0.409917287,0.463951683,,0.405512585,0.411542722,0.363231717,0.610528626,0.398658119,0.497493071,0.434748813,0.90949422,0.569889398,0.441490824,0.508531156,0.461986293,0.441525224,0.505466766,0.278071521,0.318769659,0.72418426
0.391920691,0.388002825,0.528918712,0.624374331,,0.505078398,0.656309496,0.691309313,0.334642378,0.673190706,0.394204613,,0.230850312,0.62020891,0.799946622,0.448371246,0.519414038,0.730467037,0.650448107,0.734226067,0.571003186,0.813192286,0.487560105,0.693415545,0.600841938,0.628469495,0.50830979,0.375676945,0.587087244,0.50110557,,0.547165151,0.45847849,0.499907743,0.762092729,0.62376442,0.621309236,0.548499692,0.616737547,0.517256297,0.510288592,0.367434629,0.522547195,,,0.365836308,0.465070338,0.345715493,0.443482088,0.772381214,0.673530813,0.638997426,0.422041158,0.479025042,0.546872217,0.361957467,0.391789296,0.974169598,0.275689953,0.692285275,0.603910728,0.655401268,,0.520749006,,0.435441095,0.48110646,,0.763023745,0.587705541,0.509699566,0.601179727,0.156538188,0.404479143,0.560896465,,,0.519581741,,0.412610564,0.362924408,0.373751328,,0.410612508,0.539948609,0.428048407,0.662723921,0.368791745,0.565070199,0.396888763,0.787469659,0.513336823,0.436117695,0.377706441,0.456303534,0.500224593,0.412629663,0.525261248,0.406809846,0.46162675
0.549430857,0.456909467,0.505597486,0.115844547,0.732832346,0.548962769,0.172032006,0.268898606,0.329771763,0.34508131,0.508796826,0.230850312,,0.311206111,0.216770885,0.468886782,0.516192005,0.310827817,0.407849562,0.245585467,0.410737446,0.25727099,0.651569044,0.152355341,0.451668845,0.184782197,0.576920696,0.578764613,0.216765046,0.36140998,,0.433943231,0.505574446,0.550988867,0.452922862,0.514167309,0.574970505,0.612725815,0.4011818,0.561619049,0.441624207,0.625786307,0.338765906,0.716430987,,0.553853431,,0.491748529,0.485855861,0.513343264,0.271903078,0.791357847,0.464550251,0.264803299,0.453793364,0.536441613,0.630667428,0.415360198,0.433123187,,0.450106633,0.619140982,,0.485083616,0.356361835,0.62002927,0.591754017,,0.053014067,0.430801538,0.45431387,,0.033635936,0.479236867,0.511848737,,,0.6401343,,0.655785059,0.716055864,0.682689569,,0.670189607,0.374900329,0.31929023,0.505647548,0.570453785,0.739650373,0.462188533,,0.422318769,0.715780874,0.590078464,0.32963946,0.39623909,0.420268869,0.614867524,0.658807226,0.621151274
0.477267703,0.544637436,0.476386784,0.18013913,,0.512090079,0.481347975,0.68254776,0.534766712,0.707114346,0.571848634,0.62020891,0.311206111,,0.847157829,0.552329248,0.607479456,0.600520789,0.637223346,0.688056191,0.528471062,0.720825877,0.542360487,0.708554301,0.596617393,0.707907427,0.48056172,0.576452224,0.375071938,0.449842503,0.517791512,0.555432485,0.507932095,0.481703513,0.799929942,0.657770661,0.57947011,0.404118043,0.55585263,0.315793357,0.425095498,0.51262797,0.490361845,,,0.409844159,0.465070338,0.269323811,0.555733445,0.414866807,0.813856883,0.327913919,0.431039421,0.571143773,0.562764495,0.414654546,0.516934163,0.081198591,0.292254874,0.444991087,0.599592491,0.375292067,,0.505458988,,0.488005248,0.434942469,,0.49886224,0.54432979,0.641556076,0.054850933,0.34873515,0.345108722,0.586704724,,,0.510616982,0.410881809,0.502808816,0.342568004,0.389714245,,0.400965704,0.497881314,0.47017242,0.629692126,0.411111131,0.401633952,0.402295471,0.235280978,0.436431401,0.474738649,0.362167868,0.460704189,0.531496219,0.515905617,0.471660047,0.539345743,0.449240315
0.308604642,0.617620143,0.374309768,,,0.647882448,0.514286754,0.753610182,0.407429914,0.833408911,0.624447594,0.799946622,0.216770885,0.847157829,,0.517073522,0.59933884,0.519266169,0.584465701,0.794851311,0.423951613,0.878168733,0.365309568,0.818878033,0.684502588,0.771054263,0.479408074,0.367813922,0.536129363,0.474215736,,0.720189279,0.436898946,0.4003819,0.522402825,0.790829798,0.665176338,0.377251342,0.4985418,0.22981392,0.312712407,0.282740798,0.624318058,,,0.488186744,,0.111986136,0.322098672,0.749560031,0.32676149,0.297993331,0.380133275,0.512134962,0.638501512,0.20101348,0.35874059,0.412754603,0.043576767,0.298103178,,0.355107766,,0.521027796,,0.443764616,0.37622392,,,0.676286578,0.65621383,,,0.21197684,0.719792929,,,0.375664279,,0.304531793,0.357836507,0.305648174,,0.335660627,0.531220522,0.318769876,0.759764055,0.33076008,0.373592567,0.234606744,1.0,0.558022125,0.34635447,0.317948593,0.694415611,0.583959833,0.533679822,0.433222258,0.337418153,0.368462666
0.63621225,0.47895599,0.343361637,0.445892151,,0.367286439,0.175211593,0.201688208,0.167867299,0.48503421,0.728095797,0.448371246,0.468886782,0.552329248,0.517073522,,0.632439087,0.578604586,0.637431331,0.610941291,0.733666517,0.48167654,0.60947422,0.192825765,0.506197394,0.448679699,0.668893737,0.567237811,0.588751018,0.575171584,0.625552752,0.358528429,0.677814255,0.689947421,0.334590363,0.532861022,0.548796558,0.561835524,0.663188563,0.54735618,0.586677254,0.651191495,0.406053161,,,0.494273804,,0.596336811,0.440700559,0.212087276,0.709816858,0.618333552,0.387139098,0.430641667,0.4336056,0.735375123,0.451455073,0.202729231,0.46077477,0.205787812,0.492860614,0.686784384,,0.489611651,,0.555317899,0.677127683,,0.457369799,0.450100476,0.790808409,0.603661564,0.897718023,0.683485429,0.492385273,,,0.598888237,0.903516066,0.465217424,0.513245764,0.589693632,,0.525731788,0.52178152,0.576851134,0.495234125,0.6667572,0.548930425,0.556888774,0.567204815,0.4286054,0.648248925,0.716101495,0.353903362,0.586525081,0.495001254,0.448858586,0.60607225,0.546433847
0.577538607,0.474511709,0.49901609,0.160722801,,0.565261523,0.572928277,0.582893526,0.363920428,0.541595696,0.768170073,0.519414038,0.516192005,0.607479456,0.59933884,0.632439087,,0.690342969,0.665689194,0.609417973,0.682899253,0.693249029,0.63838395,0.411704831,0.540626183,0.709987472,0.596979287,0.624672546,0.653938819,0.561076108,0.910446583,0.486049319,0.649061348,0.470014461,0.36735107,0.575191416,0.622626867,0.493344508,0.532250447,0.426574016,0.656681252,0.556436256,0.47494257,,,0.50643182,,0.475826416,0.546390885,0.387485229,0.698890625,0.518016399,0.431134289,0.428754904,0.417275574,0.558936846,0.578155232,0.277329192,0.368838358,0.427947275,0.352524535,0.504440747,,0.469018353,,0.604577672,0.513065805,,0.442306617,0.538615462,0.585956235,0.894024901,0.779732791,0.248505905,0.464942783,,,0.632648405,0.704206434,0.395161834,0.350628369,0.462452905,,0.341091892,0.473213028,0.411738165,0.538319534,0.447701865,0.511465167,0.402721806,,0.622218866,0.380132995,0.516208787,0.490719078,0.582979052,0.43691719,0.452562723,0.409840437,0.428923042
0.449032722,0.526168067,0.430808252,,,0.560592179,0.534950689,0.483270829,0.298460782,0.494913889,0.743036339,0.730467037,0.310827817,0.600520789,0.519266169,0.578604586,0.690342969,,0.7729824,0.68910559,0.636080348,0.667720425,0.573878746,0.40490262,0.623481609,0.623952555,0.541148875,0.538451135,0.550923634,0.588276717,0.956334381,0.558856611,0.598154914,0.484358627,0.432845444,0.691840571,0.533786883,0.497793287,0.596020145,0.430250847,0.522713466,0.370766792,0.645378294,,,0.416261083,0.174801104,0.445364505,0.573324379,0.521002202,0.726085137,0.532300721,0.474372269,0.479722629,0.451944725,0.750028058,0.697844893,0.298615579,0.197251354,0.903495994,0.40783301,0.525887006,,0.526836053,,0.457347924,0.524686442,,0.044672221,0.481272443,0.349600503,0.520810324,0.314564226,0.240150606,0.610671246,,,0.579318137,0.483695425,0.473472762,0.355007699,0.453222961,,0.400443314,0.43494156,0.611127473,0.472111731,0.401649988,0.489152117,0.326322096,,0.506628443,0.519554011,0.359296682,0.422836737,0.572891067,0.471485756,0.492092111,0.57466031,0.380696267
0.540328151,0.459926373,0.677087748,0.833641565,,0.525460403,0.757422215,0.656012079,0.422008389,0.556412009,0.845290359,0.650448107,0.407849562,0.637223346,0.584465701,0.637431331,0.665689194,0.7729824,,0.512212993,0.648703982,0.674471361,0.663227082,0.273083525,0.639802262,0.708465259,0.599458928,0.513047652,0.466852307,0.439516086,0.727934397,0.587272812,0.509680026,0.606477687,0.808914472,0.660696586,0.573698445,0.531262243,0.682595961,0.486364647,0.588683259,0.489853663,0.525711418,,,0.501733153,,0.322479628,0.478370741,0.58376353,0.902366095,0.493369359,0.423422898,0.534584829,0.450366925,0.393625289,0.77608352,0.672089694,0.522413807,0.520274954,0.102313977,0.680970906,,0.426521928,,0.436420425,0.520809751,,0.666380004,0.488165205,0.48227801,,,0.910181381,0.569219219,,,0.561737006,,0.342871198,0.325766672,0.426543141,,0.420675028,0.446265385,0.451308495,0.471953885,0.447693212,0.544822997,0.387081337,0.787469659,0.592971484,0.416882981,0.406638627,0.355633002,0.469668036,0.35725526,0.422900856,0.30455192,0.309597875
0.440446343,0.484848353,0.622949178,0.819750658,,0.708451633,0.44907218,0.612846125,0.54447905,0.788474077,0.69338105,0.734226067,0.245585467,0.688056191,0.794851311,0.610941291,0.609417973,0.68910559,0.512212993,,0.613119418,0.816385314,0.507490748,0.478669214,0.633102272,0.795178514,0.570969817,0.493590779,0.639919215,0.639189613,0.742044154,0.551892112,0.504405797,0.462159708,0.411783902,0.572866615,0.554910258,0.484668341,0.549184394,0.387978494,0.518516794,0.42321369,0.504223107,,,0.437209859,,0.395732714,0.357706186,0.568385301,0.332514524,0.409333257,0.401142686,0.551621495,0.573936108,0.414444281,0.25853299,0.146627621,0.601349747,0.415195105,0.094588583,0.400770309,,0.534881491,,0.31322551,0.478640525,,0.274292089,0.452764668,0.648189881,0.805749565,0.697886303,0.419334208,0.651946226,,,0.530348106,0.632982263,0.425564203,0.372705876,0.328078394,,0.308039239,0.480890577,0.431769852,0.607297239,0.370831558,0.739265607,0.404666667,0.667519651,0.495112756,0.295253835,0.385727503,0.592679433,0.488634863,0.560770604,0.397392801,0.390091302,0.375807731
0.513957411,0.490606399,0.412555715,0.383784077,,0.419232679,0.234272969,0.414881848,0.34507842,0.548592454,0.818587903,0.571003186,0.410737446,0.528471062,0.423951613,0.733666517,0.682899253,0.636080348,0.648703982,0.613119418,,0.72698974,0.651557624,0.237798499,0.539793553,0.581237731,0.611755354,0.577229336,0.579419433,0.613843051,0.269049953,0.569790529,0.576885439,0.630353154,0.396838682,0.559100252,0.547722531,0.528911491,0.592251153,0.476708296,0.627700189,0.579825164,0.519330661,,,0.518408532,,0.413950875,0.493709446,0.297054019,0.53396522,0.522546545,0.473228783,0.451855244,0.367107231,0.467572828,0.206016626,0.184825429,0.479086529,0.243577953,0.238689949,0.396246522,,0.50434941,,0.401441153,0.464519348,,0.412182256,0.465354513,0.405166435,0.134335703,0.483944234,0.509580172,0.641479491,,,0.640701669,0.576363912,0.476509037,0.569394761,0.444591049,,0.410650338,0.49183052,0.424720082,0.597367492,0.576994018,0.593232975,0.494926158,0.531006404,0.59396368,0.518150165,0.53984094,0.462973658,0.600349233,0.499182731,0.462938669,0.425995856,0.447683838
0.421905637,0.510137927,0.596576315,,,0.463622289,0.611431409,0.581597711,0.576682889,0.624090659,0.601463775,0.813192286,0.25727099,0.720825877,0.878168733,0.48167654,0.693249029,0.667720425,0.674471361,0.816385314,0.72698974,,0.59582767,0.551660547,0.605746733,0.616537669,0.578542482,0.467381578,0.636186509,0.553296604,0.715651465,0.662144559,0.514227395,0.54594789,0.501293419,0.759483946,0.699984639,0.616693924,0.656436599,0.679744123,0.449538807,0.420709093,0.567656219,,,0.384365519,,0.520430866,0.561404613,0.442983797,0.249612267,0.59740732,0.560169787,0.579393058,0.74997705,0.25337711,0.173922136,0.452223382,0.532492771,0.286216425,0.320852708,0.511118219,,0.514126937,,0.349289152,0.443558884,,0.293802352,0.375204412,0.344043944,0.179331224,0.465919691,0.436543055,0.617579764,,,0.571840374,,0.403929323,0.374915237,0.348928765,0.788655729,0.336953008,0.543837332,0.279106527,0.645179397,0.466570535,0.617609827,0.358555882,0.543966954,0.489598947,0.327503756,0.42102815,0.63679051,0.634530564,0.512185393,0.449216214,0.223447538,0.371888899
0.577184977,0.485376308,0.326525965,0.354714811,,0.437151521,0.315697476,0.289792142,0.448941707,0.444032381,0.54330401,0.487560105,0.651569044,0.542360487,0.365309568,0.60947422,0.63838395,0.573878746,0.663227082,0.507490748,0.651557624,0.59582767,,0.191168168,0.484837827,0.433783982,0.635388552,0.694082759,0.508856722,0.580191748,0.753077265,0.444050067,0.584900044,0.626335661,0.3586195,0.418288926,0.586511372,0.638208582,0.667035355,0.413676264,0.584397465,0.577105655,0.459285965,0.693769747,,0.380456298,,0.48908377,0.530726295,0.384508803,0.206711132,0.527192928,0.451866758,0.515837779,0.490561063,0.577524239,0.531277735,0.425295608,0.667686104,0.215716611,0.481120308,0.636893788,,0.345288002,,0.574763201,0.545139982,,0.391918887,0.536084608,0.684281396,0.494112301,0.736344471,0.782868701,0.581869466,,0.565673366,0.622776013,0.732297339,0.521797193,0.603070595,0.559936995,,0.517883984,0.537857218,0.522986384,0.523987928,0.631375728,0.550552545,0.635718834,0.927376512,0.455257306,0.588120174,0.596265211,0.461276348,0.495041247,0.482560895,0.506405716,0.574412931,0.565227333
0.169313229,0.511581652,0.629747447,0.289494806,,0.73833628,0.489038894,0.818875177,0.874709483,0.700999202,,0.693415545,0.152355341,0.708554301,0.818878033,0.192825765,0.411704831,0.40490262,0.273083525,0.478669214,0.237798499,0.551660547,0.191168168,,0.505361955,0.737322728,0.399202889,0.141863794,0.45248538,0.180856506,,0.519920017,0.234263465,0.422003261,0.552010611,0.619242594,0.537313778,0.503607912,0.222121254,0.211891992,0.298501101,0.110131648,0.820820308,,,0.548085042,,0.123586732,0.578871779,0.602099538,0.433900049,0.265624158,0.551691222,0.604096443,0.59168186,0.372910184,0.256642988,,0.326140071,0.654940568,0.597876276,0.328416451,,0.699009939,,0.41439402,0.453511622,,0.426024045,0.607437485,0.429848822,,,,0.498148291,,,0.296026504,,0.192463329,0.311427579,0.217971438,,0.288422963,0.346336221,0.181549296,0.400468365,0.141138616,0.18762177,0.150032357,,0.416729493,0.187447719,0.110460445,0.719404214,0.424778783,0.703995795,0.467426168,0.254930172,0.32511919
0.459134279,0.506496584,0.688992888,0.819834657,,0.565334511,0.6380509,0.610693457,0.748503581,0.58977709,0.584459003,0.600841938,0.451668845,0.596617393,0.684502588,0.506197394,0.540626183,0.623481609,0.639802262,0.633102272,0.539793553,0.605746733,0.484837827,0.505361955,,0.654810998,0.525010181,0.480729205,0.400311539,0.503294725,,0.602077028,0.499284454,0.461788044,0.14899042,0.58846126,0.483887356,0.364615681,0.518324907,0.408656303,0.495627033,0.457199684,0.508293679,,,0.510239262,,0.390510759,0.567352953,0.581191687,0.352075135,0.338088213,0.545085471,0.563388406,0.524397564,0.384031227,0.327415225,0.532365833,0.648629015,0.346922644,0.607293808,0.401544625,,0.456036381,,0.429340614,0.502178655,,0.417396385,0.592386597,0.485060913,0.667391962,0.616481275,0.527223527,0.526420687,,,0.442712587,,0.33096652,0.297168381,0.424328138,,0.340375032,0.380254118,0.439316326,0.435124886,0.409183557,0.512257714,0.432114961,0.201007156,0.586749988,0.404811855,0.421157125,0.590865347,0.447190622,0.435665652,0.421881326,0.364912274,0.393640733
